,link,date,rank,song,artist
57,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,58,Calling My Spirit,Kodak Black
58,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,59,You,Jacquees
59,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,60,No Stylist,French Montana Featuring Drake
60,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,61,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga
61,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,62,Electricity,Silk City x Dua Lipa
62,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,63,Imagine,Ariana Grande
63,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,64,Ella Quiere Beber,Anuel AA & Romeo Santos
64,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,65,Can't Leave Without It,21 Savage
65,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,66,Envy Me,Calboy
66,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,67,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy
67,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,68,When The Party's Over,Billie Eilish
68,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,69,Millionaire,Chris Stapleton
69,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,70,BAD!,XXXTENTACION
70,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,71,Lost In Japan,Shawn Mendes X Zedd
71,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,72,Pure Cocaine,Lil Baby
72,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,73,Lovely,Billie Eilish & Khalid
73,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,74,Fine China,Future & Juice WRLD
74,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,75,Take It From Me,Jordan Davis
75,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,76,What Makes You Country,Luke Bryan
76,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,77,Yosemite,Travis Scott
77,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,78,Monster,21 Savage
78,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,79,Blue Tacoma,Russell Dickerson
79,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,80,Down To The Honkytonk,Jake Owen
80,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,81,Close Friends,Lil Baby
81,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,82,Love Someone,Lukas Graham
82,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,83,Love Wins,Carrie Underwood
83,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,84,KIKA,6ix9ine Featuring Tory Lanez
84,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,85,Nuketown,Ski Mask The Slump God Featuring Juice WRLD
85,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,86,Ruin My Life,Zara Larsson
86,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,87,Body,Loud Luxury Featuring Brando
87,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,88,Dip,Tyga & Nicki Minaj
88,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,89,Good Form,Nicki Minaj Featuring Lil Wayne
89,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,90,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD
90,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,91,Here Tonight,Brett Young
91,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,92,Burn Out,Midland
92,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,93,Solo de Mi,Bad Bunny
93,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,94,Lucky You,Eminem Featuring Joyner Lucas
94,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,95,Roses,benny blanco & Juice WRLD Featuring Brendon Urie
95,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,96,whoa (mind in awe),XXXTENTACION
96,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,97,All My Friends,21 Savage
97,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,98,Make It Sweet,Old Dominion
98,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,99,Ocean Eyes,Billie Eilish
99,https://www.billboard.com/charts/hot-100/2019-01-08,2019-01-08,100,idontwannabeyouanymore,Billie Eilish
100,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,1,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
101,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,2,Without Me,Halsey
102,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,3,"Thank U, Next",Ariana Grande
103,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,4,Sicko Mode,Travis Scott
104,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,5,High Hopes,Panic! At The Disco
105,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,6,Happier,Marshmello & Bastille
106,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,7,Girls Like You,Maroon 5 Featuring Cardi B
107,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,8,Drip Too Hard,Lil Baby & Gunna
108,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,9,Eastside,"benny blanco, Halsey & Khalid"
109,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,10,ZEZE,Kodak Black Featuring Travis Scott & Offset
110,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,11,Wow.,Post Malone
111,https://www.billboard.com/charts/hot-100/2019-01-15,2019-01-15,12,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
